,sex_Female,sex_Male,race_African-American,race_Asian,race_Caucasian,race_Hispanic,race_Native American,race_Other,degree_F,degree_M,priors_count,juv_fel_count,juv_misd_count,age,two_year_recid
83,1,0,0,0,1,0,0,0,0,1,0,0,0,54,0
84,1,0,0,0,0,1,0,0,0,1,0,0,0,44,0
85,0,1,1,0,0,0,0,0,0,1,1,0,0,19,1
86,0,1,1,0,0,0,0,0,1,0,1,0,0,30,0
87,1,0,0,0,1,0,0,0,1,0,0,0,0,39,1
88,0,1,0,0,1,0,0,0,1,0,8,0,1,24,1
89,0,1,0,0,1,0,0,0,1,0,0,0,0,30,0
90,0,1,0,0,1,0,0,0,0,1,0,0,0,31,0
91,1,0,0,0,1,0,0,0,1,0,1,0,0,39,0
92,0,1,0,0,1,0,0,0,1,0,1,0,0,43,0
93,0,1,1,0,0,0,0,0,1,0,3,0,0,21,1
94,0,1,0,0,1,0,0,0,0,1,5,0,0,38,1
95,0,1,0,0,1,0,0,0,1,0,0,0,0,34,0
96,0,1,1,0,0,0,0,0,1,0,5,0,0,33,1
97,0,1,1,0,0,0,0,0,1,0,3,0,0,37,0
98,0,1,0,0,1,0,0,0,1,0,1,0,0,42,1
99,0,1,1,0,0,0,0,0,1,0,10,0,1,41,1
100,0,1,1,0,0,0,0,0,1,0,0,0,0,22,1
101,0,1,1,0,0,0,0,0,1,0,28,0,12,33,1
102,0,1,1,0,0,0,0,0,0,1,1,0,0,31,0
103,1,0,0,0,0,0,0,1,1,0,1,0,0,30,0
104,0,1,0,0,1,0,0,0,1,0,13,0,0,31,1
105,0,1,1,0,0,0,0,0,1,0,3,0,0,27,1
106,0,1,0,0,1,0,0,0,0,1,3,0,0,52,0
107,0,1,1,0,0,0,0,0,1,0,19,0,0,33,1
108,0,1,0,0,1,0,0,0,1,0,6,0,0,42,0
109,1,0,0,0,1,0,0,0,1,0,2,0,0,25,0
110,0,1,0,0,1,0,0,0,0,1,1,0,0,30,0
111,1,0,0,0,0,0,0,1,0,1,2,0,0,37,0
112,0,1,0,0,1,0,0,0,0,1,0,0,0,28,1
113,1,0,1,0,0,0,0,0,0,1,0,0,0,24,0
114,1,0,0,0,1,0,0,0,1,0,10,0,1,29,1
115,0,1,0,0,1,0,0,0,0,1,2,0,0,44,1
116,0,1,1,0,0,0,0,0,1,0,3,0,0,32,1
117,0,1,0,0,1,0,0,0,0,1,2,0,0,31,1
118,0,1,1,0,0,0,0,0,0,1,1,0,0,31,0
119,0,1,0,0,1,0,0,0,1,0,1,0,0,59,1
120,1,0,1,0,0,0,0,0,1,0,1,1,0,20,0
121,1,0,0,0,1,0,0,0,0,1,0,0,0,43,0
122,0,1,1,0,0,0,0,0,1,0,9,1,1,38,1
123,0,1,1,0,0,0,0,0,1,0,11,0,0,32,1
124,0,1,1,0,0,0,0,0,0,1,8,0,0,33,1
125,1,0,1,0,0,0,0,0,1,0,0,0,0,31,1
126,1,0,1,0,0,0,0,0,1,0,7,0,0,33,1
127,0,1,1,0,0,0,0,0,1,0,2,0,0,27,1
128,1,0,1,0,0,0,0,0,1,0,0,0,0,20,0
129,1,0,0,0,1,0,0,0,0,1,0,0,0,26,0
130,1,0,1,0,0,0,0,0,1,0,1,0,0,61,1
131,0,1,0,0,0,0,0,1,1,0,13,0,0,52,1
132,0,1,0,0,0,1,0,0,1,0,1,0,0,63,0
133,1,0,1,0,0,0,0,0,1,0,4,0,0,32,1
134,0,1,0,0,0,1,0,0,1,0,1,0,0,29,0
135,1,0,1,0,0,0,0,0,0,1,2,0,0,26,1
136,0,1,0,0,1,0,0,0,0,1,1,1,0,39,0
137,1,0,0,0,1,0,0,0,1,0,3,0,0,30,1
138,0,1,1,0,0,0,0,0,1,0,1,0,0,30,0
139,0,1,0,0,1,0,0,0,0,1,2,0,0,48,0
140,0,1,1,0,0,0,0,0,1,0,1,0,0,22,0
141,0,1,0,0,1,0,0,0,1,0,6,0,0,46,1
142,0,1,0,0,1,0,0,0,1,0,0,0,0,31,0
143,0,1,1,0,0,0,0,0,0,1,1,0,0,25,1
144,0,1,0,0,0,1,0,0,1,0,0,0,0,23,0
145,1,0,1,0,0,0,0,0,1,0,5,0,0,32,0
146,0,1,0,0,0,1,0,0,0,1,2,0,0,52,0
147,0,1,1,0,0,0,0,0,1,0,8,0,0,62,0
148,0,1,0,0,0,1,0,0,1,0,8,0,0,31,1
149,0,1,1,0,0,0,0,0,0,1,6,0,0,28,1
150,0,1,0,0,0,1,0,0,1,0,2,0,0,54,0
151,0,1,0,0,0,1,0,0,1,0,0,0,0,58,0
152,0,1,0,0,1,0,0,0,0,1,1,0,0,78,1
153,0,1,0,0,1,0,0,0,1,0,0,0,0,56,0
154,0,1,0,0,0,0,0,1,1,0,0,0,0,24,0
155,0,1,1,0,0,0,0,0,1,0,1,0,0,22,1
156,0,1,1,0,0,0,0,0,0,1,23,0,0,47,1
157,0,1,1,0,0,0,0,0,0,1,0,0,0,23,1
158,0,1,0,0,0,1,0,0,1,0,1,0,0,57,0
159,0,1,1,0,0,0,0,0,1,0,3,0,0,66,0
160,0,1,0,0,1,0,0,0,0,1,8,0,0,45,1
161,0,1,1,0,0,0,0,0,0,1,2,0,0,37,1
162,0,1,0,0,1,0,0,0,1,0,0,0,0,39,1
163,0,1,1,0,0,0,0,0,1,0,9,0,0,26,1
164,0,1,0,0,1,0,0,0,1,0,2,0,0,45,0
165,0,1,1,0,0,0,0,0,1,0,0,0,0,23,1
166,0,1,1,0,0,0,0,0,0,1,2,0,0,34,0
167,1,0,1,0,0,0,0,0,0,1,1,0,0,23,0
168,0,1,0,0,0,0,0,1,0,1,2,0,0,36,1
169,0,1,0,0,1,0,0,0,1,0,1,0,0,50,0
170,1,0,0,0,1,0,0,0,0,1,0,0,0,37,0
171,0,1,0,0,1,0,0,0,0,1,4,0,0,44,0
172,1,0,1,0,0,0,0,0,1,0,23,0,1,35,1
173,0,1,0,0,0,0,0,1,1,0,5,0,0,24,1
174,0,1,1,0,0,0,0,0,1,0,2,0,0,26,1
175,0,1,1,0,0,0,0,0,0,1,0,0,0,27,0
176,1,0,1,0,0,0,0,0,1,0,0,0,0,28,0
177,1,0,0,0,1,0,0,0,1,0,7,0,0,28,1
178,0,1,1,0,0,0,0,0,1,0,2,0,0,38,0
179,1,0,1,0,0,0,0,0,1,0,1,0,0,28,0
180,0,1,0,0,1,0,0,0,1,0,7,0,0,56,1
181,0,1,1,0,0,0,0,0,1,0,15,0,0,38,0
182,0,1,1,0,0,0,0,0,0,1,2,0,0,28,0
183,1,0,0,0,1,0,0,0,0,1,0,0,0,51,1
184,0,1,0,0,1,0,0,0,0,1,0,0,0,51,0
185,0,1,0,0,0,0,0,1,0,1,1,0,0,36,1
186,0,1,1,0,0,0,0,0,1,0,0,0,0,48,0
187,0,1,0,0,1,0,0,0,1,0,4,0,0,37,1
188,1,0,1,0,0,0,0,0,1,0,2,0,0,30,0
189,1,0,1,0,0,0,0,0,0,1,5,0,0,41,0
190,0,1,1,0,0,0,0,0,1,0,11,0,0,27,1
191,0,1,1,0,0,0,0,0,0,1,0,0,0,37,0
192,0,1,0,0,0,0,0,1,1,0,4,0,0,33,1
193,0,1,1,0,0,0,0,0,1,0,11,0,0,54,0
194,0,1,1,0,0,0,0,0,1,0,2,0,0,23,0
195,0,1,1,0,0,0,0,0,0,1,0,0,0,41,0
196,0,1,0,0,1,0,0,0,1,0,0,0,0,52,0
197,0,1,0,0,1,0,0,0,1,0,13,0,0,43,1
198,0,1,1,0,0,0,0,0,1,0,0,0,0,52,0
199,0,1,0,0,1,0,0,0,1,0,1,0,0,28,0
200,0,1,1,0,0,0,0,0,0,1,11,0,0,30,1
201,0,1,0,0,1,0,0,0,1,0,1,0,0,28,0
202,0,1,1,0,0,0,0,0,1,0,0,0,0,22,0
203,0,1,1,0,0,0,0,0,1,0,4,0,0,30,0
204,0,1,0,0,0,1,0,0,1,0,4,0,0,25,0
205,0,1,0,0,1,0,0,0,1,0,0,0,0,31,1
206,0,1,0,0,1,0,0,0,1,0,0,0,0,37,1
207,0,1,1,0,0,0,0,0,1,0,14,0,1,32,0
208,0,1,0,0,1,0,0,0,0,1,1,0,0,53,0
209,0,1,1,0,0,0,0,0,1,0,25,0,0,28,1
210,0,1,0,0,1,0,0,0,0,1,8,0,0,44,1
211,0,1,1,0,0,0,0,0,1,0,0,0,0,25,0
212,0,1,0,0,1,0,0,0,0,1,1,0,0,22,1
213,1,0,0,0,0,0,0,1,0,1,0,0,0,37,0
214,1,0,0,0,0,0,0,1,1,0,3,0,0,40,0
215,1,0,0,0,0,1,0,0,0,1,0,0,0,31,0
216,0,1,0,0,0,1,0,0,1,0,1,0,0,23,1
217,1,0,0,0,1,0,0,0,1,0,5,0,0,23,1
218,0,1,0,0,0,1,0,0,0,1,0,0,0,24,0
219,0,1,1,0,0,0,0,0,0,1,1,0,0,29,0
220,0,1,1,0,0,0,0,0,1,0,1,0,0,20,1
221,0,1,1,0,0,0,0,0,1,0,2,0,0,30,1
222,0,1,0,0,0,0,0,1,1,0,0,0,0,39,0
223,0,1,1,0,0,0,0,0,1,0,4,0,0,27,0
224,1,0,1,0,0,0,0,0,1,0,2,0,0,37,0
225,0,1,1,0,0,0,0,0,1,0,0,0,0,20,0
226,0,1,0,0,0,1,0,0,1,0,0,0,0,22,0
227,1,0,1,0,0,0,0,0,1,0,0,0,0,52,0
228,1,0,1,0,0,0,0,0,1,0,0,0,0,23,1
229,1,0,1,0,0,0,0,0,1,0,0,0,0,48,0
230,0,1,0,0,1,0,0,0,1,0,0,0,0,25,0
231,0,1,0,0,1,0,0,0,1,0,0,0,0,27,1
232,0,1,1,0,0,0,0,0,1,0,11,0,0,30,1
233,0,1,1,0,0,0,0,0,0,1,3,0,1,22,1
234,1,0,0,0,1,0,0,0,1,0,1,0,0,22,0
235,1,0,1,0,0,0,0,0,0,1,2,0,0,41,0
236,1,0,0,0,0,0,0,1,1,0,0,0,0,25,0
237,0,1,1,0,0,0,0,0,1,0,3,0,0,52,1
238,0,1,1,0,0,0,0,0,1,0,0,0,0,43,0
239,0,1,0,0,1,0,0,0,1,0,3,0,0,37,0
240,0,1,0,0,1,0,0,0,0,1,1,0,0,70,0
241,0,1,0,0,1,0,0,0,1,0,3,0,0,46,0
242,0,1,1,0,0,0,0,0,0,1,0,0,0,21,1
243,0,1,1,0,0,0,0,0,0,1,1,0,0,26,1
244,0,1,0,0,0,1,0,0,1,0,3,0,0,38,1
245,0,1,0,0,1,0,0,0,0,1,5,0,0,34,0
246,0,1,1,0,0,0,0,0,0,1,5,0,0,34,0
247,0,1,0,0,1,0,0,0,1,0,0,0,0,23,1
248,0,1,1,0,0,0,0,0,1,0,5,0,0,34,1
249,0,1,1,0,0,0,0,0,1,0,6,0,0,39,1
250,0,1,0,0,0,0,0,1,1,0,0,0,0,24,0
251,0,1,0,0,1,0,0,0,1,0,2,0,0,58,0
252,1,0,1,0,0,0,0,0,0,1,0,0,0,21,0
253,0,1,1,0,0,0,0,0,0,1,4,0,0,23,1
254,0,1,0,0,1,0,0,0,1,0,0,0,0,62,0
255,0,1,0,0,1,0,0,0,1,0,5,0,0,37,0
256,0,1,0,0,0,0,0,1,1,0,2,0,0,43,1
257,1,0,1,0,0,0,0,0,1,0,5,0,0,32,0
258,0,1,0,0,0,1,0,0,1,0,0,0,0,23,0
259,0,1,1,0,0,0,0,0,0,1,0,0,0,27,0
260,0,1,0,0,1,0,0,0,0,1,0,0,0,44,1
261,0,1,0,0,1,0,0,0,0,1,3,0,0,28,1
262,1,0,0,0,1,0,0,0,1,0,0,0,0,42,0
263,0,1,0,0,0,0,0,1,1,0,9,0,1,24,1
264,0,1,1,0,0,0,0,0,1,0,0,0,0,27,0
265,0,1,1,0,0,0,0,0,1,0,0,0,0,20,1
266,1,0,0,0,1,0,0,0,0,1,0,0,0,51,0
267,0,1,0,0,1,0,0,0,0,1,0,0,0,56,0
268,0,1,1,0,0,0,0,0,1,0,7,0,0,29,0
269,0,1,1,0,0,0,0,0,1,0,0,0,0,20,1
270,0,1,0,0,1,0,0,0,1,0,8,0,0,27,0
271,0,1,1,0,0,0,0,0,1,0,2,0,1,24,1
272,0,1,0,0,1,0,0,0,1,0,36,0,0,53,1
273,0,1,0,0,1,0,0,0,0,1,2,0,0,28,1
274,0,1,0,0,0,1,0,0,1,0,3,0,1,21,0
275,1,0,1,0,0,0,0,0,1,0,0,0,0,36,0
276,1,0,0,0,1,0,0,0,0,1,2,0,0,25,1
277,1,0,0,0,0,1,0,0,0,1,1,0,0,23,0
278,0,1,0,0,1,0,0,0,1,0,1,0,0,28,0
279,1,0,1,0,0,0,0,0,1,0,0,0,0,21,1
280,0,1,0,0,1,0,0,0,0,1,0,0,0,36,0
281,0,1,1,0,0,0,0,0,1,0,0,0,0,24,0
282,0,1,0,0,0,0,0,1,1,0,1,0,0,30,1
283,0,1,1,0,0,0,0,0,1,0,0,0,0,29,0
284,1,0,0,0,1,0,0,0,0,1,0,0,0,30,0
285,0,1,0,0,0,1,0,0,0,1,1,0,0,51,0
286,0,1,1,0,0,0,0,0,1,0,12,0,1,32,1
287,0,1,1,0,0,0,0,0,1,0,1,0,0,23,0
288,0,1,1,0,0,0,0,0,1,0,3,0,0,47,0
289,0,1,0,0,1,0,0,0,1,0,0,0,0,37,0
290,0,1,1,0,0,0,0,0,1,0,2,0,2,19,1
291,0,1,0,0,0,1,0,0,0,1,0,0,0,27,0
292,0,1,0,0,0,0,0,1,0,1,0,0,0,39,0
293,1,0,0,0,1,0,0,0,1,0,0,0,0,21,0
294,0,1,0,0,1,0,0,0,0,1,0,0,0,69,0
295,0,1,0,0,1,0,0,0,1,0,2,0,0,21,0
296,0,1,1,0,0,0,0,0,0,1,6,0,0,26,1
297,0,1,0,0,1,0,0,0,1,0,0,0,0,22,0
298,1,0,1,0,0,0,0,0,1,0,0,0,0,23,1
299,0,1,1,0,0,0,0,0,1,0,3,0,0,49,0
300,0,1,1,0,0,0,0,0,0,1,2,0,0,29,0
301,1,0,0,0,1,0,0,0,0,1,0,0,0,60,0
302,0,1,1,0,0,0,0,0,1,0,3,2,0,23,1
303,1,0,0,0,0,0,0,1,1,0,1,1,0,20,0
304,0,1,0,0,0,1,0,0,1,0,1,0,0,36,0
305,0,1,0,0,1,0,0,0,1,0,0,0,0,30,0
306,0,1,1,0,0,0,0,0,1,0,1,0,1,21,0
307,0,1,0,0,1,0,0,0,0,1,2,0,0,22,1
308,0,1,1,0,0,0,0,0,1,0,4,0,0,21,1
309,0,1,1,0,0,0,0,0,1,0,0,0,0,21,1
310,0,1,0,0,1,0,0,0,0,1,1,0,0,34,0
311,1,0,0,0,1,0,0,0,0,1,1,0,0,50,1
312,0,1,0,0,1,0,0,0,1,0,0,0,0,40,1
313,0,1,1,0,0,0,0,0,1,0,7,0,0,25,1
314,1,0,0,0,1,0,0,0,0,1,1,0,0,53,0
315,1,0,1,0,0,0,0,0,1,0,0,0,0,24,0
316,0,1,1,0,0,0,0,0,1,0,1,0,0,42,0
317,0,1,1,0,0,0,0,0,0,1,1,0,0,28,0
318,0,1,1,0,0,0,0,0,1,0,6,1,1,26,1
319,0,1,1,0,0,0,0,0,1,0,4,0,0,22,1
320,0,1,0,0,1,0,0,0,0,1,3,0,0,21,0
321,0,1,1,0,0,0,0,0,1,0,23,0,0,37,1
322,0,1,1,0,0,0,0,0,1,0,2,0,0,35,0
323,0,1,1,0,0,0,0,0,1,0,2,0,0,53,0
324,0,1,1,0,0,0,0,0,1,0,7,0,0,29,0
325,0,1,0,0,1,0,0,0,1,0,23,1,0,48,1
326,1,0,0,0,1,0,0,0,0,1,0,0,0,52,0
327,0,1,1,0,0,0,0,0,1,0,12,0,0,27,1
328,0,1,1,0,0,0,0,0,1,0,5,0,0,28,0
329,0,1,0,0,1,0,0,0,0,1,3,0,0,33,0
330,1,0,0,0,0,1,0,0,1,0,0,0,0,28,0
331,0,1,1,0,0,0,0,0,1,0,14,0,0,36,1
332,0,1,1,0,0,0,0,0,1,0,2,1,0,29,0
333,0,1,1,0,0,0,0,0,0,1,0,0,0,22,1
334,0,1,0,0,1,0,0,0,1,0,0,0,0,25,0
335,0,1,1,0,0,0,0,0,1,0,5,0,0,56,0
336,0,1,1,0,0,0,0,0,1,0,9,0,0,27,1
337,0,1,0,0,1,0,0,0,1,0,4,0,0,52,1
338,0,1,1,0,0,0,0,0,1,0,3,0,0,32,0
339,0,1,0,0,0,0,0,1,1,0,4,0,0,60,0
340,0,1,0,0,0,1,0,0,0,1,1,0,0,23,0
341,1,0,0,0,1,0,0,0,0,1,0,0,0,39,0
342,0,1,0,0,1,0,0,0,0,1,0,0,0,56,0
343,1,0,1,0,0,0,0,0,1,0,0,0,0,22,0
344,0,1,1,0,0,0,0,0,1,0,11,0,0,53,0
345,0,1,0,0,1,0,0,0,0,1,0,0,0,25,1
346,0,1,0,0,0,1,0,0,0,1,0,0,0,21,0
347,0,1,0,0,1,0,0,0,1,0,0,0,0,22,0
348,1,0,0,0,1,0,0,0,0,1,2,0,0,58,0
349,0,1,1,0,0,0,0,0,0,1,7,0,0,31,1
350,0,1,0,0,1,0,0,0,1,0,1,0,0,22,1
351,0,1,1,0,0,0,0,0,1,0,8,0,0,28,1
352,0,1,0,0,0,0,0,1,1,0,1,0,0,42,0
353,0,1,1,0,0,0,0,0,1,0,0,0,0,20,1
354,0,1,0,0,1,0,0,0,0,1,0,0,0,29,1
355,0,1,1,0,0,0,0,0,0,1,21,0,0,58,1
356,0,1,1,0,0,0,0,0,1,0,3,0,0,22,0
357,0,1,0,0,0,1,0,0,0,1,1,0,0,48,1
358,0,1,0,0,1,0,0,0,1,0,0,0,0,37,0
359,0,1,1,0,0,0,0,0,1,0,1,0,0,57,1
360,0,1,0,0,1,0,0,0,0,1,3,0,0,27,0
361,0,1,1,0,0,0,0,0,1,0,3,0,0,26,0
362,0,1,0,0,1,0,0,0,1,0,3,0,1,24,1
363,0,1,0,0,1,0,0,0,1,0,0,0,0,33,0
364,0,1,1,0,0,0,0,0,1,0,2,0,0,29,0
365,1,0,1,0,0,0,0,0,1,0,3,0,0,24,1
366,0,1,0,0,1,0,0,0,1,0,1,0,0,19,1
367,0,1,0,0,1,0,0,0,0,1,2,0,0,36,0
368,1,0,0,0,1,0,0,0,1,0,0,0,0,24,0
369,0,1,0,0,1,0,0,0,0,1,0,0,0,34,0
370,0,1,0,0,0,1,0,0,1,0,2,0,0,25,1
371,0,1,1,0,0,0,0,0,1,0,1,1,0,20,1
372,0,1,1,0,0,0,0,0,0,1,1,0,0,24,1
373,0,1,0,0,1,0,0,0,1,0,4,0,0,61,0
374,1,0,1,0,0,0,0,0,1,0,3,0,0,50,0
375,0,1,1,0,0,0,0,0,0,1,1,0,0,30,0
376,0,1,1,0,0,0,0,0,1,0,5,0,0,38,0
377,0,1,0,0,1,0,0,0,0,1,0,0,0,24,0
378,1,0,1,0,0,0,0,0,1,0,2,0,0,46,1
379,0,1,0,0,1,0,0,0,0,1,0,0,0,41,1
380,0,1,0,0,0,0,0,1,1,0,0,0,0,20,1
381,0,1,1,0,0,0,0,0,0,1,13,0,0,27,1
382,0,1,1,0,0,0,0,0,0,1,1,0,0,26,1
383,0,1,1,0,0,0,0,0,1,0,3,0,0,29,1
384,0,1,0,0,1,0,0,0,1,0,6,0,0,52,1
385,0,1,0,0,1,0,0,0,1,0,1,0,0,28,1
386,0,1,1,0,0,0,0,0,1,0,5,0,0,55,1
387,0,1,1,0,0,0,0,0,1,0,10,1,1,26,1
388,0,1,1,0,0,0,0,0,1,0,5,0,0,28,0
389,0,1,0,0,1,0,0,0,1,0,2,0,0,63,0
390,0,1,1,0,0,0,0,0,1,0,0,0,0,42,0
391,0,1,1,0,0,0,0,0,1,0,6,1,2,23,0
392,0,1,1,0,0,0,0,0,1,0,28,0,0,54,1
393,0,1,1,0,0,0,0,0,1,0,8,0,0,35,1
394,1,0,1,0,0,0,0,0,1,0,6,1,0,24,1
395,0,1,1,0,0,0,0,0,0,1,2,0,0,54,0
396,0,1,1,0,0,0,0,0,0,1,12,0,0,58,1
397,0,1,0,0,1,0,0,0,0,1,1,0,0,23,1
398,0,1,1,0,0,0,0,0,0,1,1,0,0,35,0
399,0,1,1,0,0,0,0,0,1,0,1,0,0,20,1
400,0,1,0,0,1,0,0,0,1,0,0,0,0,51,0
401,0,1,0,0,0,1,0,0,1,0,0,0,0,24,0
402,0,1,0,0,1,0,0,0,1,0,3,0,0,37,0
403,0,1,0,0,1,0,0,0,1,0,3,0,0,47,0
404,0,1,0,0,1,0,0,0,1,0,4,0,0,34,1
405,0,1,0,0,1,0,0,0,1,0,0,0,0,56,0
406,0,1,0,0,0,1,0,0,1,0,4,0,0,34,1
407,0,1,0,0,1,0,0,0,1,0,1,0,0,59,1
408,0,1,0,1,0,0,0,0,1,0,0,0,0,35,0
409,0,1,0,0,0,1,0,0,1,0,1,0,0,58,0
410,0,1,0,0,0,1,0,0,0,1,2,0,0,29,0
411,1,0,0,0,1,0,0,0,1,0,6,0,0,24,1
412,0,1,0,0,1,0,0,0,0,1,2,0,0,21,1
413,0,1,0,1,0,0,0,0,1,0,5,0,0,50,1
414,0,1,1,0,0,0,0,0,1,0,1,0,0,26,0
415,1,0,0,0,1,0,0,0,0,1,0,0,0,30,0
416,0,1,0,0,1,0,0,0,0,1,0,0,0,29,1
417,0,1,1,0,0,0,0,0,0,1,0,0,0,54,0
418,0,1,1,0,0,0,0,0,1,0,4,0,0,29,1
419,1,0,0,0,1,0,0,0,0,1,0,0,0,59,0
420,0,1,1,0,0,0,0,0,1,0,0,0,0,38,0
421,0,1,0,0,1,0,0,0,0,1,1,0,0,27,1
422,0,1,0,0,0,1,0,0,1,0,7,0,0,26,1
423,0,1,0,0,0,1,0,0,1,0,20,0,0,52,0
424,0,1,1,0,0,0,0,0,1,0,33,0,0,66,1
425,0,1,0,0,1,0,0,0,1,0,2,0,0,27,0
426,0,1,0,0,1,0,0,0,0,1,1,0,0,51,0
427,0,1,0,0,1,0,0,0,1,0,1,0,0,35,0
428,0,1,0,0,1,0,0,0,0,1,4,0,0,52,0
429,0,1,0,0,0,0,0,1,1,0,12,0,0,48,0
430,1,0,1,0,0,0,0,0,0,1,0,0,0,26,0
